Index,Name,Description,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID
57,Ultra Keyboard Compact Eco,Bit responsibility cover him mean call civil.,Pace-Hodges,Books & Stationery,514,USD,491,8481605893389,LightGray,8x10 in,backorder,19
58,Portable Scale Speaker Powerbank Clean,Throughout special new you view season within.,Morris LLC,Women's Clothing,689,USD,332,5175038823985,PowderBlue,Small,backorder,94
59,Oven Speaker Fan,Hot behavior traditional.,Schwartz Ltd,Men's Clothing,489,USD,423,2567562782853,GoldenRod,Small,pre_order,99
60,Automatic Speaker Router Lamp Prime,Word score education thousand high treatment.,"Sexton, Dickerson and Blair",Grooming Tools,621,USD,667,6744198567221,FireBrick,5x7 in,in_stock,61
61,Smart Webcam Projector Lock,Subject agree you off.,Stokes Inc,Men's Clothing,440,USD,973,4811928042234,SteelBlue,Medium,in_stock,3
62,Fast Fan,Avoid very final food scene possible.,Ali-Oliver,Cleaning Supplies,982,USD,804,3388615003133,DarkOrchid,100x200 mm,backorder,70
63,Automatic Cooler Edge,Career for much exist.,"Odonnell, Boyle and Oconnor",Beauty & Personal Care,124,USD,513,6261793125392,LimeGreen,50x70 cm,pre_order,83
64,Advanced Freezer Advanced Advanced,Chance material himself soldier.,Gill LLC,Office Supplies,489,USD,561,6474143371206,Tomato,S,pre_order,48
65,Silent Trimmer Shaver Fast,Task point seat better.,Munoz Group,Smartphones,130,USD,876,4089415274929,DarkSlateGray,5x7 in,in_stock,76
66,Treadmill,Vote only run modern.,"Frost, Christensen and Burnett",Women's Clothing,731,USD,744,4598541150958,Cyan,5x7 in,out_of_stock,70
67,Mini Charger Lock Oven Sense Sense,Major tell him share allow.,"Burton, Gross and Giles",Haircare,750,USD,623,9282813513019,Olive,12x18 in,in_stock,81
68,Thermostat Trimmer,Drug interview hotel decide pattern.,"Hester, Love and Lynch","Accessories (Bags, Hats, Belts)",206,USD,677,8282848236311,MidnightBlue,8x10 in,discontinued,6
69,Clean Iron Premium Air Wireless,Around tough popular present sign herself pattern.,"Shepherd, Greene and House",Beauty & Personal Care,293,USD,700,7935749142557,GhostWhite,XXL,out_of_stock,5
70,Compact Mouse Mouse Router Mini,Occur miss son Democrat happy.,Barry PLC,Smartwatches,5,USD,247,0252926529077,PapayaWhip,10x10 cm,limited_stock,79
71,Premium Lock Mini Advanced,Three character traditional maybe.,"Elliott, Mcfarland and Duran",Automotive,12,USD,439,3997003361528,Plum,XS,pre_order,40
72,Silent Webcam Webcam Treadmill Sense Portable Advanced,Leg my mother father.,George-Day,Makeup,148,USD,650,6908065460286,Aqua,M,backorder,29
73,Compact Thermostat Oven,Focus that consumer amount half.,Hull Inc,Home & Kitchen,685,USD,747,7695934105636,SaddleBrown,30x40 cm,in_stock,36
74,Wireless Watch Tablet Printer Automatic Eco Sense,Might poor animal must protect blue forward.,Fleming Inc,Smartwatches,59,USD,169,1089969929675,Sienna,Large,out_of_stock,31
75,Automatic Blender,Smile human machine section bank.,Mahoney-Bryan,Home Decor,630,USD,438,0310774792552,LightGoldenRodYellow,8x10 in,backorder,4
76,Rechargeable Webcam Dock Heater,Organization address section collection church gun consumer do.,Kennedy-Gordon,Cycling,800,USD,151,1340784358003,Brown,XXL,in_stock,66
77,Clean Toaster Oven Air Touch,Heavy threat beautiful material assume piece.,Olsen-Sawyer,Kids' Clothing,365,USD,71,7806787405877,LimeGreen,Medium,pre_order,40
78,Brush,Control daughter effect investment piece training nation.,"Lowe, Mosley and Rivera",Bedding & Bath,273,USD,623,0168419438521,RoyalBlue,S,in_stock,42
79,Portable Kettle,Apply out industry must tell.,Sampson-Leon,Home & Kitchen,50,USD,413,0445370808496,MediumAquaMarine,L,pre_order,25
80,Rechargeable Brush Compact,Early century every amount than past.,Castro-Mccarty,Automotive,748,USD,326,6855062072649,Sienna,S,out_of_stock,81
81,Fast Heater Cooker Compact Silent,Strategy fund mind rather change.,"Decker, Montes and Logan",Makeup,367,USD,19,3868467036959,Orchid,8x10 in,in_stock,15
82,Mini Drone X Portable,Shoulder cost especially.,Whitney Group,Books & Stationery,352,USD,123,9437200314292,BlueViolet,Medium,backorder,12
83,Heater Keyboard,Remember here kind enjoy source room reflect be.,Brooks and Sons,Office Supplies,103,USD,208,5328785590239,Chocolate,Extra Large,backorder,72
84,Wireless Fan Thermostat Max Automatic Max,Design price for especially section college over green.,Kaiser-Banks,Books & Stationery,423,USD,759,1396411470228,MidnightBlue,5x7 in,in_stock,81
85,Fast Keyboard,Success other institution fear.,Lewis Ltd,Camping & Hiking,998,USD,10,3163238295239,Cyan,50x70 cm,limited_stock,64
